Station;month number ;Chl a;Eh;Temp.;pH;ChZT-Mn;ChZT-Cr;BZT5;O2rozp;WS;NO3;NO2;NH4;TN;SRP;TP;TH;Ca;Mg;Cl;SO4;ZasadowoÊç;KwasowoÊç;Feog;Mnog;Pb;Zn;Cd;Cu
r1;1;25;363;16,5;7,42;10,1;43,3;4,5;6,1;61,9;0,16;0,031;1,01;1,84;0,14;0,41;230;84;5;29;51;125;1,25;0,1;0,03;0,001;0,001;0,001;0,001
r1;2;45;334;13,2;8,2;10,3;41,3;3,5;6,3;59,6;0,69;0,068;0,95;1,96;0,21;0,64;281;101;7;28;31;290;2,5;0,12;0,04;0,001;0,006;0,001;0,005
r1;3;44;354;7,9;8;10,5;42,7;5;5,4;45,3;0,89;0,036;0,35;1,35;0,24;0,78;282;103;6;26;24;275;2,5;0,32;0,02;0,003;0,014;0,002;0,014
r1;4;30;352;2;7,65;10,6;44;6,1;7,3;52,7;0,36;0,058;0,42;1,23;0,31;0,96;285;94;12;31;28;300;3,75;0,43;0,12;0,001;0,006;0,004;0,004
r1;5;26;350;5;7,84;11,3;48,3;7,8;12,1;94,5;0,45;0,056;0,36;1,12;0,25;0,83;245;85;8;52;32;260;5;0,65;0,16;0,001;0,006;0,007;0,004
r1;6;16;318;1;7,92;23,1;74,9;5,6;10,6;78,3;0,5;0,006;2,8;3,7;0,17;0,8;306;111;7;91;33;170;2,5;1,48;0,75;0,003;0,014;0,002;0,014
r1;7;18;355;2;7,68;20,3;72;8;16,4;115,5;1,06;0,035;0,88;2,96;0,06;0,52;257;95;5;62;37;180;5;0,34;1,4;0,009;0,027;0,002;0,01
r1;8;22;312;3;8,04;10;64,3;3,8;7,8;56,3;0,2;0,073;1,35;2,95;0,2;0,42;310;116;5;66;19;250;2,5;0,23;1,65;0,002;0,012;0,002;0,011
r1;9;35;340;4,2;7,9;12,5;52,9;4,2;7,6;62,9;0,69;0,04;0,94;2,73;0,21;0,47;255;87;9;44;30;225;2,5;0,44;0,53;0,001;0,006;0,002;0,011
r1;10;49;361;5;7,83;11,4;51,4;5,8;5,8;54,8;1,25;0,048;0,42;4,45;0,24;0,34;248;69;18;33;23;210;1,25;0,88;0,01;0,003;0,013;0,002;0,013
r1;11;37;338;6;8,13;10,3;35,2;4,8;5;49,1;1,09;0,04;0,7;2,5;0,02;0,26;139;43;8;31;24;230;2,5;0,19;1,3;0,002;0,014;0,002;0,013
